MilitaryExpenditure,Year
0.238497,1920
0.281682,1921
0.241238,1922
0.299433,1923
0.289616,1924
0.261132,1925
0.270887,1926
0.301174,1927
0.312124,1928
0.345763,1929
0.396729,1930
0.4042,1931
0.357311,1932
0.536292,1933
0.322795,1934
0.582346,1935
0.534881,1936
0.618459,1937
0.673383,1938
2.32707,1939
12.7665,1940
14.3563,1941
25.1047,1942
38.5802,1943
33.9405,1944
24.6924,1945
14.003,1946
3.11163,1947
1.26127,1948
2.32229,1949
2.63836,1950
5.60047,1951
7.35326,1952
7.68672,1953
6.80125,1954
6.51938,1955
5.81091,1956
5.46128,1957
4.90786,1958
4.42148,1959
4.21219,1960
4.22269,1961
4.12212,1962
3.5566,1963
3.44051,1964
2.86896,1965
2.72832,1966
2.80286,1967
2.52615,1968
2.28185,1969
2.18875,1970
2.11876,1971
1.99425,1972
1.83277,1973
1.82254,1974
1.75524,1975
1.7544,1976
1.83141,1977
1.83525,1978
1.69121,1979
1.59969,1980
1.69839,1981
1.96874,1982
1.92637,1983
2.01425,1984
1.84821,1985
1.90094,1986
1.84009,1987
1.73856,1988
1.67494,1989
1.72165,1990
1.86496,1991
1.72919,1992
1.66107,1993
1.67454,1994
1.51053,1995
1.37099,1996
1.19418,1997
1.21417,1998
1.24169,1999
1.11937,2000
1.05163,2001
1.12175,2002
1.13037,2003
1.12335,2004
1.12992,2005
1.14619,2006
1.26149,2007
1.26958,2008
1.42054,2009
1.25434,2010
1.12191,2011
1.00763,2012
1.00486,2013
0.995806,2014
0.986422,2015
0.99131,2016
