MilitaryExpenditure,Year
3.86478,1871
1.58726,1872
1.57937,1873
1.81321,1874
2.20135,1875
2.15669,1876
2.38925,1877
2.17292,1878
2.32648,1879
2.25687,1880
2.3577,1881
2.27842,1882
2.17054,1883
2.16666,1884
2.06939,1885
2.13579,1886
3.00762,1887
3.63032,1888
2.17426,1889
3.03671,1890
2.4508,1891
2.62951,1892
2.84081,1893
2.66214,1894
2.36932,1895
2.19925,1896
2.61038,1897
2.35587,1898
2.24621,1899
2.31556,1900
2.55153,1901
2.59409,1902
2.33478,1903
2.21248,1904
2.24864,1905
2.26487,1906
2.33018,1907
2.63352,1908
2.53885,1909
2.53593,1910
2.44265,1911
2.34824,1912
3.20447,1913
15.4289,1914
55.6091,1915
48.5269,1916
56.4607,1917
59.3544,1918
0.655749,1919
0.523965,1920
0.520979,1921
0.188449,1922
6.88568,1923
0.815605,1924
0.864748,1925
0.972973,1926
0.821077,1927
0.857582,1928
0.838076,1929
0.932223,1930
1.08611,1931
1.26103,1932
2.66324,1933
2.69116,1934
5.2612,1935
6.92989,1936
8.63737,1937
17.528,1938
25.8844,1939
44.1935,1940
57.032,1941
71.8509,1942
85.5267,1943
94.5016,1944
22.3587,1945
1.7291,1991
1.56207,1992
1.77182,1993
1.59793,1994
1.58774,1995
1.58955,1996
1.49616,1997
1.50572,1998
1.41737,1999
1.43014,2000
1.37895,2001
1.41097,2002
1.4065,2003
1.33962,2004
1.33562,2005
1.26201,2006
1.22339,2007
1.2404,2008
1.38181,2009
1.34228,2010
1.224,2011
1.15419,2012
1.22399,2013
1.18843,2014
1.18368,2015
1.18488,2016
