MilitaryExpenditure,Year
0.703469,1868
0.435147,1869
0.243758,1870
0.504317,1871
1.64077,1872
1.45304,1873
1.78479,1874
1.45708,1875
1.26214,1876
1.07637,1877
1.12933,1878
1.29871,1879
1.3052,1880
1.3202,1881
1.32972,1882
1.54385,1883
1.57325,1884
1.41103,1885
2.54248,1886
2.68022,1887
2.59632,1888
2.53826,1889
2.34769,1890
2.06393,1891
1.63069,1892
1.63024,1893
10.039,1894
7.69705,1895
4.35846,1896
5.91204,1897
5.3869,1898
5.11152,1899
5.77422,1900
4.31155,1901
3.50284,1902
5.80475,1903
23.3349,1904
24.5862,1905
11.8259,1906
5.99001,1907
5.9136,1908
4.86892,1909
4.9326,1910
4.80889,1911
4.3583,1912
4.00396,1913
4.85376,1914
4.5934,1915
4.11936,1916
4.21691,1917
5.05959,1918
5.82878,1919
5.98052,1920
5.96048,1921
4.76676,1922
3.78232,1923
3.37935,1924
2.8914,1925
2.86658,1926
3.20535,1927
3.32283,1928
3.22408,1929
3.18862,1930
3.64019,1931
5.44166,1932
6.01792,1933
5.97598,1934
6.13743,1935
5.42272,1936
13.9572,1937
22.3283,1938
19.7758,1939
20.1744,1940
27.8696,1941
34.7304,1942
46.8605,1943
98.9387,1944
56.9765,1945
1.54788,1952
2.07457,1953
1.83712,1954
1.46197,1955
1.38536,1956
1.37991,1957
1.31327,1958
1.21556,1959
1.02226,1960
0.947911,1961
1.01374,1962
0.979835,1963
0.958284,1964
0.938712,1965
0.915042,1966
0.865278,1967
0.825832,1968
0.808515,1969
0.790431,1970
0.950483,1971
0.842353,1972
0.734815,1973
0.848802,1974
0.877533,1975
0.858872,1976
0.776822,1977
0.770805,1978
0.961528,1979
0.854093,1980
0.959036,1981
0.986748,1982
0.956468,1983
0.981632,1984
1.01466,1985
1.01972,1986
1.01983,1987
0.941039,1988
0.995687,1989
0.920752,1990
0.920955,1991
0.995409,1992
0.943934,1993
0.960191,1994
0.941301,1995
0.966105,1996
0.944994,1997
0.98231,1998
0.911031,1999
0.956543,2000
0.949741,2001
0.982444,2002
0.994023,2003
0.969217,2004
0.959628,2005
0.942757,2006
0.941515,2007
0.941455,2008
1.00953,2009
0.988423,2010
1.01192,2011
0.988295,2012
0.950866,2013
0.962243,2014
0.937771,2015
0.934626,2016
