MilitaryExpenditure,Year
3.96177,1885
4.32225,1886
3.60426,1887
3.36606,1888
3.81774,1889
3.83293,1890
4.74788,1891
3.96885,1892
3.86475,1893
3.86705,1894
4.3358,1895
4.04067,1896
4.03685,1897
3.5247,1898
3.63452,1899
3.68991,1900
3.64382,1901
3.4173,1902
3.78463,1903
3.56329,1904
12.7029,1905
6.85147,1906
4.8827,1907
3.70908,1908
3.48414,1909
3.39408,1910
3.54497,1911
3.51004,1912
3.97165,1913
10.3269,1914
52.8596,1915
96.7244,1916
189.716,1919
32.1837,1920
51.8733,1921
48.3393,1922
21.703,1923
17.2003,1924
20.7347,1925
21.2766,1926
23.7419,1927
25.5499,1928
34.3238,1929
36.3173,1930
25.2317,1931
9.6581,1932
6.72232,1933
4.98516,1934
5.4955,1935
7.80957,1936
8.2285,1937
12.5158,1938
12.7252,1939
11.1537,1940
13.6222,1945
20.323,1946
12.9006,1947
13.4728,1948
14.0704,1949
16.7264,1950
21.7682,1951
22.947,1952
27.4878,1953
29.675,1954
28.7282,1955
19.8328,1956
17.8849,1957
17.1874,1958
18.4158,1959
18.5324,1960
20.8009,1961
22.0729,1962
20.2961,1963
18.9495,1964
17.3538,1965
16.9127,1966
16.8321,1967
18.7514,1968
19.0191,1969
17.8426,1970
18.0918,1971
17.1921,1972
15.6188,1973
17.6603,1974
18.5161,1975
19.9565,1976
20.1669,1977
19.3807,1978
19.9251,1979
21.3516,1980
24.1563,1981
24.6493,1982
25.1693,1983
27.9893,1984
29.7858,1985
30.3933,1986
34.0098,1987
36.6437,1988
13.7823,1989
16.4844,1990
10.1926,1992
6.68404,1993
24.4396,1994
20.7272,1995
18.8738,1996
15.795,1997
21.0606,1998
28.9931,1999
19.9959,2000
20.7682,2001
14.6859,2002
15.1283,2003
10.3995,2004
2.45442,2005
2.47845,2006
2.47723,2007
2.41685,2008
3.11644,2009
2.75025,2010
2.53766,2011
2.69863,2012
3.9609,2013
4.10418,2014
4.86276,2015
5.39819,2016
