MilitaryExpenditure,Year
2.44233,1827
2.91663,1828
2.51329,1829
2.83041,1830
4.13921,1831
3.52289,1832
3.18918,1833
2.74016,1834
2.47343,1835
2.29061,1836
2.48046,1837
2.36483,1838
2.55702,1839
3.45663,1840
3.64405,1841
3.75588,1842
3.42684,1843
3.26986,1844
3.27258,1845
3.3284,1846
3.04092,1847
4.36434,1848
3.4861,1849
2.99597,1850
2.93726,1851
2.7284,1852
2.70238,1853
4.12638,1854
5.969,1855
4.60392,1856
2.78662,1857
2.71357,1858
4.55074,1859
3.12746,1860
3.17224,1861
3.07102,1862
3.14251,1863
3.0617,1864
2.87306,1865
2.68015,1866
3.25945,1867
2.63085,1868
2.37741,1869
6.20981,1870
5.86363,1871
2.41752,1872
2.62385,1873
2.40343,1874
2.45391,1875
2.82384,1876
2.85704,1877
3.02107,1878
3.2344,1879
3.26551,1880
3.53041,1881
3.5937,1882
3.56157,1883
3.46458,1884
3.59653,1885
3.49229,1886
3.56015,1887
3.45574,1888
3.37704,1889
3.2099,1890
3.20652,1891
3.2388,1892
3.21621,1893
3.24595,1894
3.33879,1895
3.16103,1896
3.09626,1897
2.95864,1898
3.00844,1899
3.11338,1900
3.42414,1901
3.18613,1902
2.93816,1903
2.96638,1904
3.17869,1905
3.22703,1906
2.87143,1907
3.03429,1908
2.97662,1909
3.05451,1910
3.10581,1911
3.13794,1912
3.39627,1913
13.9608,1914
43.5325,1915
45.4849,1916
47.4793,1917
55.3142,1918
4.41515,1919
2.93594,1920
3.19252,1921
3.73017,1922
3.64061,1923
2.30108,1924
2.74792,1925
2.68031,1926
3.78513,1927
2.94461,1928
2.7862,1929
3.80252,1930
4.23158,1931
5.2016,1932
4.20836,1933
4.68271,1934
6.42638,1935
6.60921,1936
6.34619,1937
7.71752,1938
8.99337,1939
73.774,1940
6.56991,1941
6.79275,1942
9.2879,1944
5.66028,1945
6.13315,1946
6.03233,1947
4.28796,1948
5.25323,1949
5.56047,1950
6.76846,1951
7.92357,1952
8.77181,1953
8.17118,1954
6.60149,1955
7.4013,1956
6.88155,1957
6.75206,1958
7.32884,1959
6.20351,1960
6.03573,1961
5.90315,1962
5.45848,1963
5.24494,1964
5.06527,1965
4.93616,1966
4.92959,1967
4.55344,1968
4.11032,1969
3.98995,1970
3.76797,1971
3.67762,1972
3.58037,1973
3.47064,1974
3.57318,1975
3.56473,1976
3.64723,1977
3.70988,1978
3.67351,1979
3.75057,1980
3.83092,1981
3.8318,1982
3.85314,1983
3.77484,1984
2.98095,1985
3.12601,1986
3.14301,1987
2.99634,1988
2.76985,1989
2.71349,1990
2.91769,1991
2.45932,1992
2.79306,1993
3.21907,1994
2.96652,1995
2.93414,1996
2.8408,1997
2.70086,1998
2.52023,1999
2.48516,2000
2.38057,2001
2.42662,2002
2.4979,2003
2.47973,2004
2.41125,2005
2.33238,2006
2.27657,2007
2.27861,2008
2.01111,2009
1.96343,2010
1.86687,2011
1.86884,2012
2.22243,2013
2.2326,2014
2.27422,2015
2.26159,2016
