Entity,Code,Year,MillitaryExpenditure
United States,USA,1827,0.896102
United States,USA,1828,0.891202
United States,USA,1829,0.877152
United States,USA,1830,0.78604
United States,USA,1831,0.847569
United States,USA,1832,0.816017
United States,USA,1833,1.01072
United States,USA,1834,0.788764
United States,USA,1835,0.724192
United States,USA,1836,0.837349
United States,USA,1837,1.02415
United States,USA,1838,0.942495
United States,USA,1839,0.603848
United States,USA,1840,0.875159
United States,USA,1841,0.918864
United States,USA,1842,0.892537
United States,USA,1843,0.416418
United States,USA,1844,0.694318
United States,USA,1845,0.925973
United States,USA,1846,2.21743
United States,USA,1847,1.47814
United States,USA,1848,1.62606
United States,USA,1849,0.708164
United States,USA,1850,0.811883
United States,USA,1851,0.635898
United States,USA,1852,0.675658
United States,USA,1853,0.679774
United States,USA,1854,0.758131
United States,USA,1855,0.724115
United States,USA,1856,0.742018
United States,USA,1857,0.877271
United States,USA,1858,0.866278
United States,USA,1859,0.624265
United States,USA,1860,0.780456
United States,USA,1861,9.80376
United States,USA,1862,13.0091
United States,USA,1863,11.0011
United States,USA,1864,16.4331
United States,USA,1865,2.34933
United States,USA,1866,1.34969
United States,USA,1867,2.46058
United States,USA,1868,1.67279
United States,USA,1869,1.35572
United States,USA,1870,0.938822
United States,USA,1871,0.841103
United States,USA,1872,0.93333
United States,USA,1873,0.942314
United States,USA,1874,0.816458
United States,USA,1875,0.795138
United States,USA,1876,0.694942
United States,USA,1877,0.535343
United States,USA,1878,0.657025
United States,USA,1879,0.540819
United States,USA,1880,0.528583
United States,USA,1881,0.49268
United States,USA,1882,0.515099
United States,USA,1883,0.445576
United States,USA,1884,0.466747
United States,USA,1885,0.404471
United States,USA,1886,0.410438
United States,USA,1887,0.39352
United States,USA,1888,0.440018
United States,USA,1889,0.459287
United States,USA,1890,0.472253
United States,USA,1891,0.478552
United States,USA,1892,0.461951
United States,USA,1893,0.530064
United States,USA,1894,0.546594
United States,USA,1895,0.471168
United States,USA,1896,0.510103
United States,USA,1897,0.902112
United States,USA,1898,1.59279
United States,USA,1899,0.953005
United States,USA,1900,0.971568
United States,USA,1901,0.782168
United States,USA,1902,0.796422
United States,USA,1903,0.813992
United States,USA,1904,0.899765
United States,USA,1905,0.754656
United States,USA,1906,0.675126
United States,USA,1907,0.834893
United States,USA,1908,0.866757
United States,USA,1909,0.841325
United States,USA,1910,0.805399
United States,USA,1911,0.801343
United States,USA,1912,0.76054
United States,USA,1913,0.774013
United States,USA,1914,0.687578
United States,USA,1915,0.659876
United States,USA,1916,0.553598
United States,USA,1917,1.09267
United States,USA,1918,9.15883
United States,USA,1919,14.1715
United States,USA,1920,1.85964
United States,USA,1921,1.50136
United States,USA,1922,1.16124
